,state_abbr,geoid,ccid,chamber,district_name,name,dem_share,year,district_number,cc_score,seat_number,party,is_current
2014,VA,51021,51021L,State House,State House District 21,Kelly Convirs-Fowler,,,21,100,21,Democrat,True
2017,VA,51065,51065L,State House,State House District 65,Lee Ware,,,65,47,65,Republican,True
2018,VA,51084,51084L,State House,State House District 84,Glenn Davis,,,84,48,84,Republican,True
2020,VA,51025,51025L,State House,State House District 25,Chris Runion,,,25,27,25,Republican,True
2022,VA,51091,51091L,State House,State House District 91,Martha Mugler,,,91,100,91,Democrat,True
2025,VA,51070,51070L,State House,State House District 70,Delores McQuinn,,,70,98,70,Democrat,True
2027,VA,51012,51012L,State House,State House District 12,Chris Hurst,,,12,95,12,Democrat,True
2030,VA,51045,51045L,State House,State House District 45,Mark Levine,,,45,100,45,Democrat,True
2033,VA,51023,51023L,State House,State House District 23,Wendell Walker,,,23,13,23,Republican,True
2036,VA,51013,51013L,State House,State House District 13,Danica Roem,,,13,100,13,Democrat,True
2038,VA,51082,51082L,State House,State House District 82,Jason Miyares,,,82,45,82,Republican,True
2040,VA,51054,51054L,State House,State House District 54,Robert Orrock,,,54,49,54,Republican,True
2041,VA,51098,51098L,State House,State House District 98,Keith Hodges,,,98,42,98,Republican,True
2043,VA,51083,51083L,State House,State House District 83,Nancy Guy,,,83,100,83,Democrat,True
2046,VA,51066,51066L,State House,State House District 66,Kirkland Cox,,,66,36,66,Republican,True
2047,VA,51051,51051L,State House,State House District 51,Hala Ayala,,,51,98,51,Democrat,True
2050,VA,51010,51010L,State House,State House District 10,Wendy Gooditis,,,10,100,10,Democrat,True
2053,VA,51008,51008L,State House,State House District 8,Joseph McNamara,,,08,27,8,Republican,True
2056,VA,51022,51022L,State House,State House District 22,Kathy Byron,,,22,34,22,Republican,True
2057,VA,51005,51005L,State House,State House District 5,Israel O'Quinn,,,05,33,5,Republican,True
2058,VA,51027,51027L,State House,State House District 27,Roxann Robinson,,,27,39,27,Republican,True
2060,VA,51097,51097L,State House,State House District 97,Scott Wyatt,,,97,16,97,Republican,True
2062,VA,51086,51086L,State House,State House District 86,Ibraheem Samirah,,,86,100,86,Democrat,True
2064,VA,51026,51026L,State House,State House District 26,Tony Wilt,,,26,41,26,Republican,True
2066,VA,51048,51048L,State House,State House District 48,Richard Sullivan,,,48,98,48,Democrat,True
2068,VA,51007,51007L,State House,State House District 7,Larry Rush,,,07,37,7,Republican,True
2070,VA,51036,51036L,State House,State House District 36,Kenneth Plum,,,36,99,36,Democrat,True
2071,VA,51077,51077L,State House,State House District 77,C.E. Hayes,,,77,93,77,Democrat,True
2072,VA,51004,51004L,State House,State House District 4,William Wampler,,,04,13,4,Republican,True
2074,VA,51055,51055L,State House,State House District 55,Hyland Fowler,,,55,48,55,Republican,True
2077,VA,51092,51092L,State House,State House District 92,Jeion Ward,,,92,97,92,Democrat,True
2078,VA,51081,51081L,State House,State House District 81,Barry Knight,,,81,38,81,Republican,True
2080,VA,51038,51038L,State House,State House District 38,Kaye Kory,,,38,99,38,Democrat,True
2082,VA,51093,51093L,State House,State House District 93,Michael Mullin,,,93,98,93,Democrat,True
2087,VA,51090,51090L,State House,State House District 90,Angelia Williams Graves,,,90,9999,90,Democrat,True
2089,VA,51039,51039L,State House,State House District 39,Vivian Watts,,,39,96,39,Democrat,True
2091,VA,51002,51002L,State House,State House District 2,Candi Mundon King,,,02,9999,2,Democrat,True
2095,VA,51071,51071L,State House,State House District 71,Jeffrey Bourne,,,71,97,71,Democrat,True
2096,VA,51076,51076L,State House,State House District 76,Clinton Jenkins,,,76,100,76,Democrat,True
2098,VA,51003,51003L,State House,State House District 3,James Morefield,,,03,31,3,Republican,True
2100,VA,51073,51073L,State House,State House District 73,Rodney Willett,,,73,100,73,Democrat,True
2103,VA,51088,51088L,State House,State House District 88,Mark Cole,,,88,24,88,Republican,True
2104,VA,51085,51085L,State House,State House District 85,Alex Askew,,,85,100,85,Democrat,True
2109,VA,51063,51063L,State House,State House District 63,Lashrecse Aird,,,63,94,63,Democrat,True
2111,VA,51068,51068L,State House,State House District 68,Dawn Adams,,,68,97,68,Democrat,True
2113,VA,51024,51024L,State House,State House District 24,Ronnie Campbell,,,24,20,24,Republican,True
2115,VA,51046,51046L,State House,State House District 46,Charniele Herring,,,46,99,46,Democrat,True
2117,VA,51017,51017L,State House,State House District 17,Chris Head,,,17,29,17,Republican,True
2120,VA,51075,51075L,State House,State House District 75,Roslyn Tyler,,,75,93,75,Democrat,True
2121,VA,51031,51031L,State House,State House District 31,Elizabeth Guzman,,,31,97,31,Democrat,True
2123,VA,51056,51056L,State House,State House District 56,John McGuire,,,56,31,56,Republican,True
2126,VA,51094,51094L,State House,State House District 94,Shelly Simonds,,,94,100,94,Democrat,True
2129,VA,51087,51087L,State House,State House District 87,Suhas Subramanyam,,,87,100,87,Democrat,True
2132,VA,51043,51043L,State House,State House District 43,Mark Sickles,,,43,98,43,Democrat,True
2133,VA,51040,51040L,State House,State House District 40,Dan Helmer,,,40,100,40,Democrat,True
2135,VA,51069,51069L,State House,State House District 69,Betsy Carr,,,69,100,69,Democrat,True
2137,VA,51019,51019L,State House,State House District 19,Terry Austin,,,19,42,19,Republican,True
2139,VA,51062,51062L,State House,State House District 62,Carrie Coyner,,,62,32,62,Republican,True
2141,VA,51047,51047L,State House,State House District 47,Patrick Hope,,,47,100,47,Democrat,True
2143,VA,51035,51035L,State House,State House District 35,Mark Keam,,,35,97,35,Democrat,True
2145,VA,51001,51001L,State House,State House District 1,Terry Kilgore,,,01,36,1,Republican,True
2146,VA,51067,51067L,State House,State House District 67,Karrie Delaney,,,67,100,67,Democrat,True
2149,VA,51089,51089L,State House,State House District 89,Jerrauld Jones,,,89,100,89,Democrat,True
2151,VA,51060,51060L,State House,State House District 60,James Edmunds,,,60,44,60,Republican,True
2153,VA,51095,51095L,State House,State House District 95,Marcia Price,,,95,97,95,Democrat,True
2155,VA,51080,51080L,State House,State House District 80,Don Scott,,,80,100,80,Democrat,True
2158,VA,51074,51074L,State House,State House District 74,Lamont Bagby,,,74,97,74,Democrat,True
2159,VA,51030,51030L,State House,State House District 30,Nicholas Freitas,,,30,22,30,Republican,True
2161,VA,51100,51100L,State House,State House District 100,Robert Bloxom,,,00,46,100,Republican,True
2162,VA,51052,51052L,State House,State House District 52,Luke Torian,,,52,90,52,Democrat,True
2164,VA,51096,51096L,State House,State House District 96,Amanda Batten,,,96,24,96,Republican,True
2166,VA,51078,51078L,State House,State House District 78,James Leftwich,,,78,44,78,Republican,True
2167,VA,51034,51034L,State House,State House District 34,Kathleen Murphy,,,34,98,34,Democrat,True
2170,VA,51053,51053L,State House,State House District 53,Marcus Simon,,,53,100,53,Democrat,True
2172,VA,51042,51042L,State House,State House District 42,Kathy Tran,,,42,100,42,Democrat,True
2174,VA,51014,51014L,State House,State House District 14,Daniel Marshall,,,14,43,14,Republican,True
2175,VA,51059,51059L,State House,State House District 59,Matt Fariss,,,59,35,59,Republican,True
2177,VA,51037,51037L,State House,State House District 37,David Bulova,,,37,100,37,Democrat,True
2178,VA,51009,51009L,State House,State House District 9,Charles Poindexter,,,09,33,9,Republican,True
2179,VA,51033,51033L,State House,State House District 33,Dave LaRock,,,33,37,33,Republican,True
2181,VA,51099,51099L,State House,State House District 99,Margaret Ransone,,,99,33,99,Republican,True
2183,VA,51058,51058L,State House,State House District 58,Robert Bell,,,58,26,58,Republican,True
2184,VA,51028,51028L,State House,State House District 28,Joshua Cole,,,28,100,28,Democrat,True
2187,VA,51057,51057L,State House,State House District 57,Sally Hudson,,,57,100,57,Democrat,True
2189,VA,51011,51011L,State House,State House District 11,Sam Rasoul,,,11,90,11,Democrat,True
2191,VA,51032,51032L,State House,State House District 32,David Reid,,,32,100,32,Democrat,True
2194,VA,51061,51061L,State House,State House District 61,Thomas Wright,,,61,43,61,Republican,True
2195,VA,51018,51018L,State House,State House District 18,Michael Webert,,,18,41,18,Republican,True
2197,VA,51029,51029L,State House,State House District 29,Bill Wiley,,,29,9999,29,Republican,True
2201,VA,51044,51044L,State House,State House District 44,Paul Krizek,,,44,98,44,Democrat,True
2203,VA,51015,51015L,State House,State House District 15,Todd Gilbert,,,15,21,15,Republican,True
2204,VA,51041,51041L,State House,State House District 41,Eileen Filler-Corn,,,41,100,41,Democrat,True
2205,VA,51016,51016L,State House,State House District 16,Les Adams,,,16,34,16,Republican,True
2207,AZ,04027,04027L,State House,State House District 27,Reginald Bolding,,,27,93,27,Democrat,True
2208,AZ,04027,04027L,State House,State House District 27,Reginald Bolding,,,27,91,27,Democrat,True
2209,AZ,04027,04027L,State House,State House District 27,Reginald Bolding,,,27,93,27,Democrat,True
2213,AZ,04017,04017L,State House,State House District 17,Jeff Weninger,,,17,8,17,Republican,True
2214,AZ,04017,04017L,State House,State House District 17,Jeff Weninger,,,17,7,17,Republican,True
2215,AZ,04017,04017L,State House,State House District 17,Jeff Weninger,,,17,90,17,Democrat,True
2218,AZ,04006,04006L,State House,State House District 6,Brenda Barton,,,06,1,6,Republican,True
2220,AZ,04006,04006L,State House,State House District 6,Brenda Barton,,,06,21,6,Republican,True
2224,AZ,04020,04020L,State House,State House District 20,Shawnna Bolick,,,20,15,20,Republican,True
2225,AZ,04020,04020L,State House,State House District 20,Shawnna Bolick,,,20,9999,20,Democrat,True
2228,AZ,04026,04026L,State House,State House District 26,Athena Salman,,,26,95,26,Democrat,True
2231,AZ,04026,04026L,State House,State House District 26,Athena Salman,,,26,9999,26,Democrat,True
2235,AZ,04014,04014L,State House,State House District 14,Becky Nutt,,,14,12,14,Republican,True
2238,AZ,04021,04021L,State House,State House District 21,Kevin Payne,,,21,9,21,Republican,True
2240,AZ,04021,04021L,State House,State House District 21,Kevin Payne,,,21,5,21,Republican,True
2241,AZ,04021,04021L,State House,State House District 21,Kevin Payne,,,21,9999,21,Republican,True
2246,AZ,04007,04007L,State House,State House District 7,Myron Tsosie,,,07,96,7,Democrat,True
2249,AZ,04007,04007L,State House,State House District 7,Myron Tsosie,,,07,9999,7,Democrat,True
2252,AZ,04009,04009L,State House,State House District 9,Randall Friese,,,09,97,9,Democrat,True
2253,AZ,04009,04009L,State House,State House District 9,Randall Friese,,,09,95,9,Democrat,True
2257,AZ,04019,04019L,State House,State House District 19,Diego Espinoza,,,19,89,19,Democrat,True
2258,AZ,04019,04019L,State House,State House District 19,Diego Espinoza,,,19,96,19,Democrat,True
2260,AZ,04004,04004L,State House,State House District 4,Charlene Fernandez,,,04,94,4,Democrat,True
2263,AZ,04004,04004L,State House,State House District 4,Charlene Fernandez,,,04,9999,4,Republican,True
2267,AZ,04025,04025L,State House,State House District 25,Russell Bowers,,,25,6,25,Republican,True
2268,AZ,04025,04025L,State House,State House District 25,Russell Bowers,,,25,12,25,Republican,True
2275,AZ,04028,04028L,State House,State House District 28,Kelli Butler,,,28,98,28,Democrat,True
2276,AZ,04028,04028L,State House,State House District 28,Kelli Butler,,,28,96,28,Democrat,True
2278,AZ,04012,04012L,State House,State House District 12,Travis Grantham,,,12,10,12,Republican,True
2279,AZ,04012,04012L,State House,State House District 12,Travis Grantham,,,12,9999,12,Republican,True
2283,AZ,04001,04001L,State House,State House District 1,Quang Nguyen,,,01,5,1,Republican,True
2285,AZ,04001,04001L,State House,State House District 1,Quang Nguyen,,,01,9999,1,Republican,True
2291,AZ,04013,04013L,State House,State House District 13,Timothy Dunn,,,13,14,13,Republican,True
2292,AZ,04013,04013L,State House,State House District 13,Timothy Dunn,,,13,21,13,Republican,True
2295,AZ,04023,04023L,State House,State House District 23,Joseph Chaplik,,,23,9999,23,Republican,True
2297,AZ,04002,04002L,State House,State House District 2,Daniel Hernandez,,,02,95,2,Democrat,True
2298,AZ,04002,04002L,State House,State House District 2,Daniel Hernandez,,,02,91,2,Democrat,True
2303,AZ,04011,04011L,State House,State House District 11,Mark Finchem,,,11,5,11,Republican,True
2304,AZ,04011,04011L,State House,State House District 11,Mark Finchem,,,11,18,11,Republican,True
2307,AZ,04018,04018L,State House,State House District 18,Denise Epstein,,,18,95,18,Democrat,True
2308,AZ,04018,04018L,State House,State House District 18,Denise Epstein,,,18,100,18,Democrat,True
2313,AZ,04003,04003L,State House,State House District 3,Alma Hernandez,,,03,96,3,Democrat,True
